name,marker-color,marker-symbol,lon,lat
Eugensplatz,427730,tennis,9.190372499999967,48.7778217
Marienplatz,427730,tennis,9.1690341,48.7641608
Hans-im-Glück-Brunnen,427730,tennis,9.177041,48.7734746
Fluxus,427730,tennis,9.172406,48.7752487
Zimt & Zucker,427730,tennis,9.1753344,48.7688994
Höhenpark Killesberg,427730,tennis,9.1715015,48.8079339
Urbanstraße,427730,tennis,9.1884668,48.7807572
Park - Uhlandshöhe,427730,tennis,9.19479,48.7813268
Geroksruhe,427730,tennis,9.2000532,48.7673255
ElisabethenanLage,427730,tennis,9.1584047,48.774013
Hoppenlau-Friedhof,427730,tennis,9.169284,48.7812957
Unterer Schloßgarten,427730,tennis,9.1979384,48.7933797
